id,month,bank_name,no_of_transactions,amt_of_transactions,no_of_active_costumers
0,01-01-2011,Allahabad Bank,82,1.66,
1,01-01-2011,Andhra Bank,1373,10.01,
2,01-01-2011,Axis Bank,2981,35.08,
3,01-01-2011,Bank of India,655,2.92,
4,01-01-2011,Bank of Maharashtra,37,1.49,
5,01-01-2011,Barclays Bank PLC,4474,63.25,
6,01-01-2011,Canara Bank,2200,75.72,
7,01-01-2011,Catholic Syrian Bank,100,0.3,
8,01-01-2011,Central Bank of India,4,0.2,
9,01-01-2011,Citi Bank,4976,185.17,
10,01-01-2011,City Union Bank,305,7.06,
11,01-01-2011,Corporation Bank,465,6.07,
12,01-01-2011,Dhanlaxmi Bank,307,9.44,
13,01-01-2011,Dombivli Nagrik Co-operative Bank,35,0.04,
14,01-01-2011,Federal Bank,105,4.29,
15,01-01-2011,Greater Bombay Co-operative Bank,69,0.01,
16,01-01-2011,HDFC Bank,15146,180.48,
17,01-01-2011,ICICI Bank,86292,2079.14,
18,01-01-2011,IDBI Bank,769,1.93,
19,01-01-2011,Indian Bank,308,18.96,
20,01-01-2011,Indian Overseas Bank,117,6.81,
21,01-01-2011,IndusInd Bank,842,21.17,
22,01-01-2011,ING Vysya Bank,72,2.91,
23,01-01-2011,Karnataka Bank,190,0.16,
24,01-01-2011,Karur Vysya Bank,6,0.1,
25,01-01-2011,Kotak Mahindra Bank,456,18.92,
26,01-01-2011,Lakshmi Vilas Bank,108,0.08,
27,01-01-2011,Oriental Bank of Commerce,118,2.31,
28,01-01-2011,Punjab National Bank,43,2.76,
29,01-01-2011,Royal Bank of Scotland N.V.,78,0.33,
30,01-01-2011,South Indian Bank,195,0.39,
31,01-01-2011,State Bank of Bikaner and Jaipur,9669,41.24,
32,01-01-2011,Standard Chartered Bank,4547,7.08,
33,01-01-2011,State Bank of Hyderabad,3709,14.76,
34,01-01-2011,State Bank of India,531115,3322.7,
35,01-01-2011,State Bank of Mysore,1076,4.29,
36,01-01-2011,State Bank of Patiala,4215,24.56,
37,01-01-2011,State Bank of Travancore,16246,117.71,
38,01-01-2011,Tamilnadu Mercantile Bank,122,1.89,
39,01-01-2011,Cosmos Co-operative Bank,46,0.04,
40,01-01-2011,Cosmos Co-operative Bank,15,0.06,
41,01-01-2011,UCO Bank,2001,27.3,
42,01-01-2011,Union Bank of India,12400,83.11,
43,01-01-2011,Vijaya Bank,2634,15.81,
44,01-01-2011,Yes Bank,19783,15.18,
45,01-02-2011,Andhra Bank,1867,5.22,
46,01-02-2011,Axis Bank,2895,35.47,
47,01-02-2011,Bank of India,560,2.14,
48,01-02-2011,Bank of Maharashtra,70,3.47,
49,01-02-2011,Barclays Bank PLC,3962,72.8,
50,01-02-2011,Central Bank of India,1,0.05,
51,01-02-2011,Citi Bank,6206,221.94,
52,01-02-2011,City Union Bank,281,9.04,
53,01-02-2011,Corporation Bank,505,3.81,
54,01-02-2011,Federal Bank,73,2.76,
55,01-02-2011,HDFC Bank,14535,165.85,
56,01-02-2011,ICICI Bank,80487,1986.93,
57,01-02-2011,IDBI Bank,780,1.91,
58,01-02-2011,Indian Bank,308,25.76,
59,01-02-2011,Indian Overseas Bank,145,7.51,
60,01-02-2011,ING Vysya Bank,43,3.65,
61,01-02-2011,Karnataka Bank,213,0.2,
62,01-02-2011,Karur Vysya Bank,16,0.25,
63,01-02-2011,Kotak Mahindra Bank,414,22.6,
64,01-02-2011,Lakshmi Vilas Bank,192,0.31,
65,01-02-2011,Oriental Bank of Commerce,145,1.75,
66,01-02-2011,Punjab National Bank,38,0.92,
67,01-02-2011,Royal Bank of Scotland N.V.,81,0.48,
68,01-02-2011,South Indian Bank,291,1.03,
69,01-02-2011,State Bank of Bikaner and Jaipur,7220,23.85,
